Ticker,Ticker_Name,Factsheet
BFZ014,BFZ014_大華銀投信,
ACOB05,ACOB05_大華銀2023年到期先進新興伊斯蘭國家債券基金A累積(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB05&b=57378&c=648
ACOB04,ACOB04_大華銀2023年到期先進新興伊斯蘭國家債券基金A累積(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB04&b=58964&c=649
ACOB08,ACOB08_大華銀2023年到期先進新興伊斯蘭國家債券基金B月配(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB08&b=58965&c=654
ACOB06,ACOB06_大華銀2023年到期先進新興伊斯蘭國家債券基金B月配(台幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB06&b=58964&c=651
ACOB07,ACOB07_大華銀2023年到期先進新興伊斯蘭國家債券基金B月配(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB07&b=58964&c=652
ACOB22,ACOB22_大華銀七年到期新興市場債券基金A累積(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB22&b=58958&c=652
ACOB20,ACOB20_大華銀七年到期新興市場債券基金A累積(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB20&b=57941&c=641
ACOB24,ACOB24_大華銀七年到期新興市場債券基金A累積(南非幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB24&b=58959&c=655
ACOB26,ACOB26_大華銀七年到期新興市場債券基金A累積(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB26&b=58959&c=657
ACOB23,ACOB23_大華銀七年到期新興市場債券基金B季配(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB23&b=58084&c=643
ACOB21,ACOB21_大華銀七年到期新興市場債券基金B季配(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB21&b=58958&c=651
ACOB25,ACOB25_大華銀七年到期新興市場債券基金B季配(南非幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB25&b=57437&c=646
ACOB27,ACOB27_大華銀七年到期新興市場債券基金B季配(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB27&b=58057&c=647
ACOB09,ACOB09_大華銀三至五年機動到期新興市場債券基金A累積(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB09&b=58962&c=652
ACOB11,ACOB11_大華銀三至五年機動到期新興市場債券基金B月配(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB11&b=58962&c=645
ACOB13,ACOB13_大華銀三至五年機動到期新興市場債券基金B月配(台幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB13&b=58963&c=648
ACOB12,ACOB12_大華銀三至五年機動到期新興市場債券基金B月配(南非幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB12&b=58963&c=647
ACOB10,ACOB10_大華銀三至五年機動到期新興市場債券基金B月配(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB10&b=58962&c=644
ACOB16,ACOB16_大華銀三至六年機動到期先進新興伊斯蘭國家債券基金A累積(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB16&b=58960&c=648
ACOB18,ACOB18_大華銀三至六年機動到期先進新興伊斯蘭國家債券基金A累積(南非幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB18&b=58961&c=651
ACOB14,ACOB14_大華銀三至六年機動到期先進新興伊斯蘭國家債券基金A累積(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB14&b=58960&c=646
ACOB17,ACOB17_大華銀三至六年機動到期先進新興伊斯蘭國家債券基金B月配(人民幣避險),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACOB17&b=58961&c=650
